,Name,Born,Party,Bundesland,Gender,Age
1746,Özlem Ates ,  ,  ,  ,,
1747,Roland Mauden ,  ,  ,  ,,
1749,Reinhard Prüllage ,  ,  ,  ,,
1750,Behiye Uca ,  ,  ,  ,,
1753,Timo Gaarz ,  ,  ,  ,,
1755,Nezaket Yildirim ,  ,  ,  ,,
1756,Dennis Nusser ,  ,  ,  ,,
1757,Klaus Eisold ,  ,  ,  ,,
1759,Karl Bär ,  ,  ,  ,,
1760,Andreas Weber ,  ,  , Berlin ,,
1761,Andrea Busch ,  ,  ,  ,,
1762,Ronald Krügel ,  ,  ,  ,,
1764,schulz ,  ,  , Niedersachsen ,,
1766,Julien Bender ,  ,  ,  ,,
1767,Patrick Bausch ,  ,  ,  ,,
1768,altersarmut ,  ,  , Bayern ,,
1769,Eva Söllner ,  ,  ,  ,,
1770,Christian Schwarz ,  ,  ,  ,,
1772,Peter Münch ,  ,  ,  ,,
1774,Ursula Beck ,  ,  ,  ,,
1775,Ralf Frank ,  ,  ,  ,,
1776,Andreas Otti ,  ,  ,  ,,
1777,Claudia Sieling ,  ,  ,  ,,
1778,Eike Reimers ,  ,  ,  ,,
1781,Jeff Staudacher ,  ,  ,  ,,
1782,Ulrike Täck ,  ,  ,  ,,
1783,Alfred Weiden ,  ,  ,  ,,
1784,bundesministerin ,  ,  ,  ,,
1785,Günter Straßberger ,  ,  ,  ,,
1786,Jakob Brunken ,  ,  ,  ,,
1787,Michael Littig ,  ,  ,  ,,
1788,Ralf Klapdor ,  ,  ,  ,,
1789,Michael Möckel ,  ,  ,  ,,
1790,Sandra Scherf-Michel ,  ,  ,  ,,
1791,Heinrich Brinker ,  ,  ,  ,,
1792,fdp ,  ,  ,  ,,
1793,Richard Kaniewski ,  ,  ,  ,,
1794,Stefan Karstens ,  ,  ,  ,,
1795,Susanne Elbert ,  ,  ,  ,,
1796,Wilhelm Kreuer ,  ,  ,  ,,
1797,linksfraktion ,  ,  , Berlin ,,
1798,Günter Räder ,  ,  ,  ,,
1800,Martin Auerbach ,  ,  ,  ,,
1802,Volkmar Richter ,  ,  ,  ,,
1805,kanzler ,  ,  , Baden-Württemberg ,,
1806,Jan Pauls ,  ,  ,  ,,
1807,Heiner Bäther ,  ,  ,  ,,
1809,Jan Sommer ,  ,  ,  ,,
1810,Michael Goebel ,  ,  ,  ,,
1812,schulpolitik ,  ,  , Baden-Württemberg ,,
1813,Michael Weidig ,  ,  ,  ,,
1814,daniel günther ,  ,  ,  ,,
1815,Sebastian Schulze ,  ,  ,  ,,
1818,Horst Reschke ,  ,  ,  ,,
1819,Ursula Maria Lorenz ,  ,  ,  ,,
1820,Klaus Herrmann ,  ,  ,  ,,
1821,Ali Al-Dailami ,  ,  ,  ,,
1822,Walter Koppius ,  ,  ,  ,,
1823,Andreas Hammerschmidt ,  ,  , Sachsen ,,
1825,Gerald Hohmann ,  ,  ,  ,,
1826,Peter Uldahl ,  ,  ,  ,,
1827,Janis Wiskandt ,  ,  ,  ,,
1828,Martin Schiller ,  ,  ,  ,,
1829,wahlen2017 ,  ,  ,  ,,
1830,Andreas Laitenberger ,  ,  ,  ,,
1832,lohnpolitik ,  ,  , Hamburg ,,
1833,Kenneth Kooter ,  ,  ,  ,,
1834,Matthias Büttner ,  ,  , Sachsen ,,
1835,jusos ,  ,  , Niedersachsen ,,
1836,Dieter Müller ,  ,  ,  ,,
1838,David Dietz ,  ,  ,  ,,
1839,Robert von Olberg ,  ,  ,  ,,
1841,energiepolitik ,  ,  , Nordrhein-Westfalen ,,
1842,Sebastian Knopf ,  ,  ,  ,,
1843,Steffen Janson ,  ,  ,  ,,
1844,Britta Witte ,  ,  ,  ,,
1845,gesundheitspolitik ,  ,  , Berlin ,,
1846,Lisa Walter ,  ,  ,  ,,
1847,Diana Klein ,  ,  ,  ,,
1850,Thorsten Wollscheid ,  ,  ,  ,,
1851,Jochen Rube ,  ,  ,  ,,
1853,Thorben Sämann ,  ,  ,  ,,
1854,Klaus Wolframm ,  ,  ,  ,,
1855,Anneliese Moser ,  ,  ,  ,,
1856,Guido Krebber ,  ,  ,  ,,
1857,Felix Fischer ,  ,  ,  ,,
1859,Anna-Maria Lanzinger ,  ,  ,  ,,
1860,Murat Yilmaz ,  ,  ,  ,,
1861,lügenpresse ,  ,  , Bayern ,,
1863,Michael Deller ,  ,  ,  ,,
1864,Andreas Herden ,  ,  ,  ,,
1866,ökosteuer ,  ,  ,  ,,
1867,Robert Schregle ,  ,  ,  ,,
1868,Nadja Weippert ,  ,  ,  ,,
1869,Claudia Sanders ,  ,  ,  ,,
1870,Andreas Sulzbacher ,  ,  ,  ,,
1871,Felix Schmidt ,  ,  ,  ,,
1872,Markus Uhl ,  ,  ,  ,,
1873,Ansgar Simon ,  ,  ,  ,,
1874,Martin Ehrenhuber ,  ,  ,  ,,
1878,Gabriele Willers ,  ,  ,  ,,
1879,Barbara Scheffer ,  ,  ,  ,,
1880,staatshaushalt ,  ,  ,  ,,
1881,Michael Linnerer ,  ,  ,  ,,
1882,Lukas Oßwald ,  ,  ,  ,,
1883,wirtschaftslage ,  ,  ,  ,,
1884,syrien ,  ,  , Berlin ,,
1885,Birga Köhler ,  ,  ,  ,,
1886,Ingo von Seemen ,  ,  ,  ,,
1887,André Grote ,  ,  ,  ,,
1890,Uwe Schmidt ,  ,  , Berlin ,,
1891,Frank Hansen ,  ,  ,  ,,
1893,Maximilian Göbel ,  ,  ,  ,,
1896,Markus Kötter ,  ,  ,  ,,
1898,Leon Weiß ,  ,  ,  ,,
1900,Joachim Rinke ,  ,  ,  ,,
1901,Martin Diedenhofen ,  ,  ,  ,,
1902,Berthold Brodersen ,  ,  ,  ,,
1903,Carsten Mohrhardt ,  ,  ,  ,,
1905,Filiz Cetin ,  ,  ,  ,,
1906,Alfred Seiferlein ,  ,  ,  ,,
1907,Annette Heidrich ,  ,  ,  ,,
1908,Axel Häberle ,  ,  ,  ,,
1909,Georg Liebl ,  ,  ,  ,,
1910,Marcus Künster ,  ,  ,  ,,
1912,Frank Rudolph ,  ,  ,  ,,
1913,Gabriele Nitsch ,  ,  ,  ,,
1915,Holger Lordieck ,  ,  ,  ,,
1916,Markus Matzerath ,  ,  ,  ,,
1918,Cengiz Tuncer ,  ,  ,  ,,
1919,Alexander von Wrese ,  ,  ,  ,,
1920,Carsten Dierks ,  ,  ,  ,,
1921,Lutz Egerer ,  ,  ,  ,,
1922,Reinhard Böttger ,  ,  ,  ,,
1923,verena hartmann ,  ,  ,  ,,
1924,Florian Jäger ,  ,  ,  ,,
1926,Stephen Ruebsam ,  ,  ,  ,,
1927,Sarah Schmid ,  ,  ,  ,,
1928,Eka Kalben ,  ,  ,  ,,
1929,tobias hans ,  ,  ,  ,,
1930,Thomas Gruber ,  ,  ,  ,,
1931,Armin Grau ,  ,  ,  ,,
1932,länderfinanzausgleich ,  ,  , Bayern ,,
1933,Claudio Wellington ,  ,  ,  ,,
1934,Eiko Precht ,  ,  ,  ,,
1935,Yvonne Rösel ,  ,  ,  ,,
1936,Manfred Mattis ,  ,  ,  ,,
1937,stanislaw tillich ,  ,  ,  ,,
1938,Christoph Merkel ,  ,  ,  ,,
1939,Tristan Zielinski ,  ,  ,  ,,
1940,Alexander Arnold ,  ,  ,  ,,
1941,Manfred Wolfrum ,  ,  ,  ,,
1942,Enrico Schaarschmidt ,  ,  ,  ,,
1944,Michael Nass ,  ,  ,  ,,
1945,wahlprogramm ,  ,  ,  ,,
1946,Corinna Seipel ,  ,  ,  ,,
1947,Florian Boehlke ,  ,  ,  ,,
1948,Erna-Kathrein Groll ,  ,  ,  ,,
1949,Udo Bonn ,  ,  ,  ,,
1950,Susanne Stehle ,  ,  ,  ,,
1951,Carmen Jäger ,  ,  ,  ,,
1952,Sandra Henkel ,  ,  ,  ,,
1953,Julia Eisold-Fritz ,  ,  ,  ,,
1954,Sarah Späth ,  ,  ,  ,,
1955,Maja Wallstein ,  ,  ,  ,,
1957,Claudia Haydt ,  ,  ,  ,,
1958,Thomas Dyhr ,  ,  ,  ,,
1959,arbeitslosigkeit ,  ,  , Sachsen ,,
1960,karrenbauer ,  ,  ,  ,,
1961,Heidi Terpoorten ,  ,  ,  ,,
1962,Toni Jaschinski ,  ,  ,  ,,
1963,Peter Würdig ,  ,  ,  ,,
1965,Thomas Thiele ,  ,  ,  ,,
1966,Stefan Labahn ,  ,  ,  ,,
1967,Thomas Gartung ,  ,  ,  ,,
1968,Christian Steck ,  ,  ,  ,,
1969,Mirjam Blumenthal ,  ,  ,  ,,
1973,Christian Reinke ,  ,  ,  ,,
1974,Sara Niemann ,  ,  ,  ,,
1975,Timo Lübeck ,  ,  ,  ,,
1978,dielinke ,  ,  ,  ,,
1979,Achim Carius ,  ,  ,  ,,
1981,Rainer Staib ,  ,  ,  ,,
1983,Paul Derabin ,  ,  ,  ,,
1984,Laura Kruse ,  ,  ,  ,,
1985,kretschmann ,  ,  , Baden-Württemberg ,,
1986,Daniel Matulla ,  ,  ,  ,,
1988,Stephan Köthe ,  ,  ,  ,,
1989,Pierre Jung ,  ,  ,  ,,
1990,Dorothea Maisch ,  ,  ,  ,,
1994,Celine Erlenhofer ,  ,  ,  ,,
1997,Madline Gund ,  ,  ,  ,,
1998,Sofia Ganter ,  ,  ,  ,,
1999,Katharina Schrader ,  ,  ,  ,,
2000,bverfg ,  ,  ,  ,,
2001,Otto Fricke ,  ,  ,  ,,
2002,Lars Christian Schröder ,  ,  ,  ,,
2003,Peter Zwilling ,  ,  ,  ,,
2004,Walter Goda ,  ,  ,  ,,
2006,Lothar Mundt ,  ,  ,  ,,
2009,Hans Werner Kammer ,  ,  ,  ,,
2010,Helmut Wettlaufer ,  ,  ,  ,,
2011,Max Zombek ,  ,  ,  ,,
2012,Michael Simon ,  ,  ,  ,,
2013,Andrea Sieber ,  ,  ,  ,,
2015,Michael Solms ,  ,  ,  ,,
2017,Rainer Schorn ,  ,  ,  ,,
2019,Eugen Ciresa ,  ,  ,  ,,
2020,Manfred Lister ,  ,  ,  ,,
2021,Heiner Garbe ,  ,  ,  ,,
2022,Pia Schillinger ,  ,  ,  ,,
2024,Christoph Stolzenberger ,  ,  ,  ,,
2025,Gabriele Drechsler ,  ,  ,  ,,
2026,Petra Baumann ,  ,  ,  ,,
2027,Susanne Krone ,  ,  ,  ,,
2029,Susanne Thelen ,  ,  ,  ,,
2031,Mahmut Türker ,  ,  ,  ,,
2033,Erik Goetze ,  ,  ,  ,,
2034,buendnis90 ,  ,  ,  ,,
2035,Timo Jeguschke ,  ,  ,  ,,
2036,finanzmarktsteuer ,  ,  ,  ,,
2038,Moritz Sartorius ,  ,  ,  ,,
2040,Dennis Meisberger ,  ,  ,  ,,
2041,Michael Korden ,  ,  ,  ,,
2042,Katharina Schultheis ,  ,  ,  ,,
2043,Susanne Puvogel ,  ,  ,  ,,
2044,Christian Winklmeier ,  ,  ,  ,,
2047,Ulrike Grimm ,  ,  ,  ,,
2049,Karl Ringlstetter ,  ,  ,  ,,
2050,Martin Wandrey ,  ,  ,  ,,
2051,carsten sieling ,  ,  ,  ,,
2052,Lars Wendland ,  ,  ,  ,,
2053,Rolf Picker ,  ,  ,  ,,
2054,Verena Götte ,  ,  ,  ,,
2055,einkommensgerechtigkeit ,  ,  ,  ,,
2056,Arno Gross ,  ,  ,  ,,
2057,Fabian Weber ,  ,  ,  ,,
2058,Christian Lucks ,  ,  ,  ,,
2059,Christiane Fuchs ,  ,  ,  ,,
2061,Robert Bauer ,  ,  ,  ,,
2063,Regina Preysing ,  ,  ,  ,,
2064,Elke Duhme ,  ,  ,  ,,
2065,Daniela Leyhausen ,  ,  ,  ,,
2066,Bernd Möbius ,  ,  ,  ,,
2067,bundeskanzlerin ,  ,  ,  ,,
2068,Lukas Jacobs ,  ,  ,  ,,
2069,Oliver Bittmann ,  ,  ,  ,,
2070,Fabian Stoffel ,  ,  ,  ,,
2071,Bernd Liebhardt ,  ,  ,  ,,
2072,schulzzug ,  ,  ,  ,,
2073,Johannes Normann ,  ,  ,  ,,
2074,Gabriela Berg ,  ,  ,  ,,
2075,dobrindt ,  ,  ,  ,,
2076,Dietmar Wagner ,  ,  ,  ,,
2077,bundeskanzler ,  ,  ,  ,,
2080,Florian Hoheisel ,  ,  ,  ,,
2081,Andreas Schwarzer ,  ,  ,  ,,
2082,florian herrmann ,  ,  ,  ,,
2083,Fritz Haugg ,  ,  ,  ,,
2084,Garrelt Agena ,  ,  ,  ,,
2085,Rüdiger Kleinke ,  ,  ,  ,,
2087,Sonja Suntrup ,  ,  ,  ,,
2088,Malte Kaufmann ,  ,  ,  ,,
2089,umweltpolitik ,  ,  , Bayern ,,
2091,Kevin Hönicke ,  ,  ,  ,,
2092,Roderik Pfreundschuh ,  ,  ,  ,,
2094,Erwin Ludwig ,  ,  ,  ,,
2096,johanna wanka ,  ,  ,  ,,
2097,Otto Greipel ,  ,  ,  ,,
2098,Mathias Engling ,  ,  ,  ,,
2099,netzpolitik ,  ,  , Baden-Württemberg ,,
2100,Achim Postert ,  ,  ,  ,,
2101,Marc Hauck ,  ,  ,  ,,
2102,Rolf Kohn ,  ,  ,  ,,
2103,Thomas Rahner ,  ,  ,  ,,
2104,Nicolas Zippelius ,  ,  ,  ,,
2106,Achim Köhler ,  ,  ,  ,,
2107,Marcus Viefeld ,  ,  ,  ,,
2109,Luca Brunsch ,  ,  ,  ,,
2111,Paul Bunjes ,  ,  ,  ,,
2112,Jens Hoppe ,  ,  ,  ,,
2113,Ronny Kumpf ,  ,  ,  ,,
2114,Matthias Kluck ,  ,  ,  ,,
2115,Waldemar Birkle ,  ,  ,  ,,
2118,Peggy Liebscher ,  ,  ,  ,,
2119,Irene Weber ,  ,  ,  ,,
2121,Uwe Witt ,  ,  ,  ,,
2122,Laleh Hadjimohamadvali ,  ,  ,  ,,
2123,Macit Karaahmetoglu ,  ,  ,  ,,
2124,Johannes Müller ,  ,  , Hessen ,,
2125,Olaf Klampe ,  ,  ,  ,,
2126,Konstatin von Notz ,  ,  ,  ,,
2127,Andreas Kleber ,  ,  , Bayern ,,
2128,Uwe Schulz ,  ,  ,  ,,
2129,Elmar Heim ,  ,  ,  ,,
2130,Julian Schmidt ,  ,  , Berlin ,male,
2132,Marek Meyer ,  ,  ,  ,,
2136,Uwe Warnecke ,  ,  ,  ,,
2137,Harald Klotz ,  ,  ,  ,,
2139,Sebastian Linke ,  ,  ,  ,,
2140,Anja Reinalter ,  ,  ,  ,,
2142,csu ,  ,  , Bayern ,,
2143,Milena Scinardo ,  ,  ,  ,,
2144,brexit ,  ,  , Berlin ,,
2147,bouffier ,  ,  , Hessen ,,
2148,Christof Rausch ,  ,  ,  ,,
2149,Patrick Diebold ,  ,  ,  ,,
2151,Andreas Kropp ,  ,  ,  ,,
2153,Katharina Burger ,  ,  ,  ,,
2154,Martin Wolf ,  ,  ,  ,,
2155,Roland Ermer ,  ,  ,  ,,
2156,Sven Görgens ,  ,  ,  ,,
2157,Jörg Lorenz ,  ,  ,  ,,
2159,Eike Lengemann ,  ,  ,  ,,
2160,Martina Dettke ,  ,  ,  ,,
2161,Lothar Ackermann ,  ,  ,  ,,
2162,Reinhard Prange ,  ,  ,  ,,
2163,Michael Sacher ,  ,  ,  ,,
2164,Elisabeth Hoffmann ,  ,  ,  ,,
2166,Sybille Mack ,  ,  ,  ,,
2167,Michael Schlembach ,  ,  ,  ,,
2168,Jens Meyer ,  ,  ,  ,,
2169,Dagmar Steiner ,  ,  ,  ,,
2170,große koalition ,  ,  ,  ,,
2172,malu dreyer ,  ,  ,  ,,
2173,Frank Rostek ,  ,  ,  ,,
2175,Mirco Hanker ,  ,  ,  ,,
2177,Andreas Otterbein ,  ,  ,  ,,
2178,Michael Weber ,  ,  ,  ,,
2179,lutz lienenkämper ,  ,  ,  ,,
2180,Heike Schweer ,  ,  ,  ,,
2182,Gerd Schon ,  ,  ,  ,,
2184,ramelow ,  ,  , Thüringen ,,
2185,wirtschaftspolitik ,  ,  ,  ,,
2187,Paul Schmidt ,  ,  ,  ,,
2188,Matthias Helferich ,  ,  ,  ,,
2189,Monika Vaupel ,  ,  ,  ,,
2190,Holger Flöge ,  ,  ,  ,,
2192,Bernd Lange ,  ,  ,  ,,
2193,Jörg Schnurre ,  ,  ,  ,,
2194,barbara hendricks ,  ,  ,  ,,
2195,Matthias Zach ,  ,  ,  ,,
2197,Hermann Siebdrat ,  ,  ,  ,,
2199,Carsten Antrup ,  ,  ,  ,,
2202,Andreas Kühn ,  ,  ,  ,,
2203,Jens Katzek ,  ,  ,  ,,
2205,Torsten Neuhoff ,  ,  ,  ,,
2207,Nils Krummacker ,  ,  ,  ,,
2209,frauke petry ,  ,  ,  ,,
2213,bürgerentscheid ,  ,  , Bayern ,,
2214,Henrik Jacobs ,  ,  ,  ,,
2215,Christopher Gohl ,  ,  ,  ,,
2216,Markus Rasp ,  ,  ,  ,,
2217,Josef Riepe ,  ,  ,  ,,
2221,Renatus Rieger ,  ,  ,  ,,
2224,hartzIV ,  ,  ,  ,,
2225,Tim Wagner ,  ,  ,  ,,
2226,Daniel Winter ,  ,  ,  ,,
2230,Ingrid Manns ,  ,  ,  ,,
2231,Oliver Piepho ,  ,  ,  ,,
2232,Alexander Nolte ,  ,  ,  ,,
2233,Hendrik Jürgens ,  ,  ,  ,,
2234,Jens Bitzka ,  ,  ,  ,,
2235,Michael Bruns ,  ,  ,  ,,
2236,Michael Schilke ,  ,  ,  ,,
2237,Catharina Bockelmann ,  ,  ,  ,,
2238,Andreas Wagner ,  ,  , Bayern ,,
2239,Martin Mölders ,  ,  ,  ,,
2240,hartz 4 ,  ,  ,  ,,
2241,Matern Marschall ,  ,  ,  ,,
2242,Pascal Stüber ,  ,  ,  ,,
2243,Martin Heilig ,  ,  ,  ,,
2244,Susanne Fahlbusch ,  ,  ,  ,,
2245,Martin Böhm ,  ,  ,  ,,
2248,Bernd Essler ,  ,  ,  ,,
2250,Gerhard Eschborn ,  ,  ,  ,,
2251,martin neumann ,  ,  ,  ,,
2253,bankenkrise ,  ,  ,  ,,
2254,Sebastian Borchart ,  ,  ,  ,,
2256,Matthias Borowiak ,  ,  ,  ,,
2257,umfrage ,  ,  , Berlin ,,
2258,Ferdinand L. Weber ,  ,  ,  ,,
2260,politikverdrossenheit ,  ,  , Sachsen ,,
2261,Oliver Strank ,  ,  ,  ,,
2262,Albert Breininger ,  ,  ,  ,,
2263,monika heinold ,  ,  ,  ,,
2264,forschungsgruppe wahlen ,  ,  ,  ,,
2266,Christian Pohlmann ,  ,  ,  ,,
2267,Karsten Gerlach ,  ,  ,  ,,
2268,Frank Mederlet ,  ,  ,  ,,
2270,Madelaine Stahl ,  ,  ,  ,,
2272,Jonny Nedog ,  ,  ,  ,,
2273,Bernd Wundersee ,  ,  ,  ,,
2274,Beate Oertel ,  ,  ,  ,,
2275,Ulrich Schneider ,  ,  ,  ,,
2276,Hermann Graf von der Schulenburg ,  ,  ,  ,,
2279,Sebastian Körber ,  ,  ,  ,,
2280,Eva Baron ,  ,  ,  ,,
2281,Thorsten Ahrens ,  ,  ,  ,,
2282,Maurice Müller ,  ,  ,  ,,
2284,Andrea Wöhrle ,  ,  ,  ,,
2285,steuerpolitik ,  ,  , Hamburg ,,
2286,Martin Fischer ,  ,  ,  ,,
2287,Raffael Sonnenschein ,  ,  ,  ,,
2289,Jasmin Laub ,  ,  ,  ,,
2290,Armin Sedlmayr ,  ,  ,  ,,
2293,Bernd Goffart ,  ,  ,  ,,
2295,Torsten Welling ,  ,  ,  ,,
2296,Christina von Wedelstaedt ,  ,  ,  ,,
2297,Christina Steinhausen ,  ,  ,  ,,
2298,Alexander Müller ,  ,  ,  ,,
2299,Djengizkhan Hasso ,  ,  ,  ,,
2302,Sascha Müller ,  ,  ,  ,,
2303,Rainer Köster ,  ,  ,  ,,
2305,Abuzar Erdogan ,  ,  ,  ,,
2306,Matthias Wagner ,  ,  ,  ,,
2307,Frank Jordan ,  ,  ,  ,,
2308,Brigitte Fischbacher ,  ,  ,  ,,
2309,Thomas Wiencke ,  ,  ,  ,,
2310,Andre Stolz ,  ,  ,  ,,
2312,Peter Walter ,  ,  ,  ,,
2315,Ulrike von Thadden ,  ,  ,  ,,
2316,Guido Hoyer ,  ,  ,  ,,
2317,Kerstin Kühn ,  ,  ,  ,,
2318,Arif Rüzgar ,  ,  ,  ,,
2319,Michaela Frauendorfer ,  ,  ,  ,,
2320,steuergeschenk ,  ,  ,  ,,
2321,Laura Schieritz ,  ,  ,  ,,
2322,Heinz Gärtner ,  ,  ,  ,,
2323,hofreiter ,  ,  ,  ,,
2324,gruene ,  ,  ,  ,,
2325,Norbert Wett ,  ,  ,  ,,
2326,Katrin Piepho ,  ,  ,  ,,
2327,Rico Kerstan ,  ,  ,  ,,
2328,Jan Kramer ,  ,  ,  ,,
2329,Peter Gehrmann ,  ,  ,  ,,
2330,Marcel Emmerich ,  ,  ,  ,,
2331,Johannes Vogel ,  ,  ,  ,,
2332,Jakob Schäuble ,  ,  ,  ,,
2333,andreas pinkwart ,  ,  ,  ,,
2336,Bettina Kubiak ,  ,  ,  ,,
2337,Josef Ilsanker ,  ,  ,  ,,
2338,Hendrik Tzschaschel ,  ,  ,  ,,
2339,Alice Dorison ,  ,  ,  ,,
2340,Marco Bedrich ,  ,  ,  ,,
2341,Harald Kleem ,  ,  ,  ,,
2342,Jürgen Preuß ,  ,  ,  ,,
2344,grüne ,  ,  , Nordrhein-Westfalen ,,
2345,Ralph Heidenreich ,  ,  ,  ,,
2346,Kerstin Götze-Eismann ,  ,  ,  ,,
2348,olaf lies ,  ,  ,  ,,
2349,Darija Bräuniger ,  ,  ,  ,,
2350,forschungspolitik ,  ,  , Berlin ,,
2351,Joachim Schulze ,  ,  ,  ,,
2352,stephan thomae ,  ,  ,  ,,
2353,Mathias Schüßler ,  ,  ,  ,,
2354,Christine Kasper ,  ,  ,  ,,
2355,Alexander Zink ,  ,  ,  ,,
2357,Rainer Behrens ,  ,  ,  ,,
2358,Erwin Feucht ,  ,  ,  ,,
2359,grünefraktion ,  ,  ,  ,,
2360,özdemir ,  ,  ,  ,,
2361,Dominik Lehmann ,  ,  ,  ,,
2362,Nele Schönau ,  ,  ,  ,,
2363,Robert Stein ,  ,  ,  ,,
2364,Julian Eder ,  ,  ,  ,,
2365,Nikolaus Kleine ,  ,  ,  ,,
2366,Sibylle von Brunn ,  ,  ,  ,,
2368,Axel Müller ,  ,  ,  ,,
2369,Wilfried Biedermann ,  ,  ,  ,,
2370,Patrick Zwiernik ,  ,  ,  ,,
2371,Dietmar Ertel ,  ,  ,  ,,
2372,Mark Helfrich ,  ,  ,  ,,
2373,Jürgen Angenendt ,  ,  ,  ,,
2374,Jürgen Gasper ,  ,  ,  ,,
2375,Josef Manz ,  ,  ,  ,,
2376,Alexander Wagner ,  ,  ,  ,,
2377,Alexander Relea-Linder ,  ,  ,  ,,
2378,Nico Köhler ,  ,  ,  ,,
2379,allensbach ,  ,  , Baden-Württemberg ,,
2380,Andrea Klingen ,  ,  ,  ,,
2381,Klaus Füßmann ,  ,  ,  ,,
2382,Benjamin Strasser ,  ,  ,  ,,
2383,Heike Engelhardt ,  ,  ,  ,,
2384,Albina Nazarenus-Vetter ,  ,  ,  ,,
2385,Rica Braune ,  ,  ,  ,,
2386,npd ,  ,  ,  ,,
2387,Stephan Dehler ,  ,  ,  ,,
2388,Stefan Thien ,  ,  ,  ,,
2390,Tobias Mährlein ,  ,  ,  ,,
2391,Pascal Haggenmüller ,  ,  ,  ,,
2392,Alexander Ehlers ,  ,  ,  ,,
2393,Daniel Rinkert ,  ,  ,  ,,
2395,Sascha Ulbrich ,  ,  ,  ,,
2398,Eugen Schmidt ,  ,  ,  ,,
2399,Klaus Jürgen Wagner ,  ,  ,  ,,
2400,Uwe Burkart ,  ,  ,  ,,
2401,Hans-Jörg Müller ,  ,  ,  ,,
2402,Pascal Lechler ,  ,  ,  ,,
2403,Anja Schulz ,  ,  ,  ,,
2404,Ingrid Reuter ,  ,  ,  ,,
2405,Ute Meiers ,  ,  ,  ,,
2406,Annette Hogh ,  ,  ,  ,,
2407,herbert reul ,  ,  ,  ,,
2408,Britta Hundesrügge ,  ,  ,  ,,
2409,Michael Braun ,  ,  ,  ,,
2410,Steffen Reichmann ,  ,  ,  ,,
2411,Alexandra Erikson ,  ,  ,  ,,
2412,Ophelia Nick ,  ,  ,  ,,
2416,Sven Kobbelt ,  ,  ,  ,,
2417,Manfred Kühne ,  ,  ,  ,,
2418,lars herrmann ,  ,  ,  ,,
2419,Clemens Teschendorf ,  ,  ,  ,,
2422,Zeki Gökhan ,  ,  ,  ,,
2423,Franziska Riekewald ,  ,  ,  ,,
2424,Tina Winklmann ,  ,  ,  ,,
2426,Henning Aretz ,  ,  ,  ,,
2427,Andreas Silbersack ,  ,  ,  ,,
2428,Tobias Huth ,  ,  ,  ,,
2429,klimaschutz ,  ,  , Bayern ,,
2430,Lars Herrmann ,  ,  ,  ,,
2431,Kristina Scherer ,  ,  ,  ,,
2432,Boris Mijatovic ,  ,  ,  ,,
2436,Willi Wagner ,  ,  ,  ,,
2437,Lorena Müllner ,  ,  ,  ,,
2438,Heiko Evermann ,  ,  ,  ,,
2439,Melanie Lang ,  ,  ,  ,,
2441,Ralf Nahlob ,  ,  ,  ,,
2443,Andreas Schaake ,  ,  ,  ,,
2444,steuerreform ,  ,  ,  ,,
2446,Christoph Neumann ,  ,  , Hamburg ,male,
2447,Ralf Kaiser ,  ,  ,  ,,
2448,Tobias Volz ,  ,  ,  ,,
2449,Michael Eiche ,  ,  ,  ,,
2451,Alexander Horlamus ,  ,  ,  ,,
2455,Irmgard Freihoffer ,  ,  ,  ,,
2456,Susanne Krause ,  ,  ,  ,,
2457,Karina Moritz ,  ,  ,  ,,
2458,oliver schenk ,  ,  ,  ,,
2459,Gerd Janson ,  ,  ,  ,,
2460,Philip Winkler ,  ,  ,  ,,
2461,Fabian Raab ,  ,  ,  ,,
2462,Erkan Dinar ,  ,  ,  ,,
2463,Maximilian Funke-Kaiser ,  ,  ,  ,,
2464,Robert Aust ,  ,  ,  ,,
2467,schaeuble ,  ,  ,  ,,
2468,Rainer Flohrschütz ,  ,  ,  ,,
2470,Bernhard Lammersmann ,  ,  ,  ,,
2472,Gordon Engler ,  ,  ,  ,,
2473,Ulli Reichardt ,  ,  ,  ,,
2476,Kerstin Körner ,  ,  ,  ,,
2478,michael espendiller ,  ,  ,  ,,
2479,Parsa Marvi ,  ,  ,  ,,
2480,lindner ,  ,  , Berlin ,,
2481,Konrad Wanner ,  ,  ,  ,,
2482,stephan holthoff-pförtner ,  ,  ,  ,,
2483,Michael Stewart ,  ,  ,  ,,
2484,Helena Böckmann ,  ,  ,  ,,
2485,Martina Kempf ,  ,  ,  ,,
2487,Christoph Blödner ,  ,  ,  ,,
2491,Philipp Tacer ,  ,  ,  ,,
2492,Gerd Baßfeld ,  ,  ,  ,,
2494,einkommensungleichheit ,  ,  ,  ,,
2495,Oliver Vogt ,  ,  ,  ,,
2496,Wolfram Hirt ,  ,  ,  ,,
2497,Frederik Hintermayr ,  ,  ,  ,,
2499,Walter Elß ,  ,  ,  ,,
2500,Juliane Hüttl ,  ,  ,  ,,
2501,Frederick Kühne ,  ,  ,  ,,
2504,Matthias Bauer ,  ,  ,  ,,
2505,Swantje Michaelsen ,  ,  ,  ,,
2506,sigmar gabriel ,  ,  ,  ,,
2507,auslandseinsatz ,  ,  ,  ,,
2508,Shahabuddin Miah ,  ,  ,  ,,
2509,Alexander Schmuck ,  ,  ,  ,,
2510,Ingo Arndt ,  ,  ,  ,,
2511,Christoph Grimm ,  ,  , Mecklenburg-Vorpommern ,,
